[control]player_id,playerStanding,playerScore,playerSpeed,playerIsGrounded,playerIsMidAir,playerIsLooping,playerIsCrashing,playerIsOffRoad,playerGasPedal,playerSteering,playerLap,playerDistanceToWayPoint,playerDeltaDistance,playerDeltaRotation,playerRespawn,visibleBotCount,botStanding,botScore,botSpeed,botIsGrounded,botIsLooping,botIsOffRoad,botIsCrashing,botGasPedal,botSteering,botLap,botDistanceToWayPoint,botDeltaDistance,botDeltaRotation,botPlayerDistance,botRespawn,visibleLoopCount,[output]arousal,[output]arousal_delta
06F9F8CE-9696-23CA-25B5-000AA4A793BA,1.15385,0.0,2.22823,1.0,0.0,0.0,0.0,0.0,0.538462,0.0,0.0,204.928,0.0324225,0.00215266,0,2.0,0.346154,0.0,1.75316,1.0,0.0,0.0,0.0,0.323077,0.269231,0.0,191.06,0.0265991,0.0216792,20.5295,0,1.0,1.0,0.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,16.1798,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,202.711,0.301322,0.0109945,0,2.0,1.5,0.0,10.9189,1.0,0.0,0.0,0.0,0.707692,0.230769,0.0,189.581,0.202531,0.258842,19.9634,0,1.0,2.0,1.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,29.122,1.0,0.0,0.0,0.0,0.0,1.0,-0.015065,0.0,196.977,0.604649,0.0131022,0,2.0,1.5,0.0,21.4757,1.0,0.0,0.0,0.0,0.8,0.0,0.0,185.536,0.443144,0.0382074,18.395,0,1.0,2.0,0.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,38.4057,1.0,0.0,0.0,0.0,0.0,1.0,-0.521821,0.0,189.14,0.755633,0.416413,0,2.0,1.5,0.0,29.3273,1.0,0.0,0.0,0.0,0.8,0.0,0.0,179.636,0.575461,0.00194021,16.3648,0,1.0,2.0,0.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,45.6571,1.0,0.0,0.0,0.0,0.0,1.0,-0.265059,0.0,179.041,0.973277,0.908349,0,2.0,1.5,0.0,35.8199,1.0,0.0,0.0,0.0,0.8,0.0,0.0,171.639,0.762122,0.000638962,13.7556,0,1.0,2.0,0.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,50.8812,1.0,0.0,0.0,0.0,0.0,1.0,0.133816,0.0,169.027,1.01006,0.1452,0,2.0,1.5,0.0,40.4265,1.0,0.0,0.0,0.0,0.8,0.0,0.0,163.09,0.801972,0.000693101,10.8466,0,1.0,2.0,0.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,51.8854,1.0,0.0,0.0,0.0833333,0.0,1.0,0.230201,0.0,158.17,1.13532,0.770317,0,2.5,2.33333,0.0,44.101,1.0,0.0,0.0,0.0,0.8,0.0,0.0,160.142,0.961329,0.000768534,11.2618,0,1.0,2.0,0.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,39.9918,1.0,0.0,0.0,0.166667,0.0,1.0,0.540518,0.0,148.878,0.95528,1.09848,0,2.0,2.5,0.0,47.2081,1.0,0.0,0.0,0.0,0.766667,0.0833333,0.0,150.433,1.09636,0.0139612,13.0261,0,1.0,2.0,0.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,3.0,0.0,36.2493,1.0,0.0,0.0,0.0,0.0,1.0,0.0343175,0.0,141.102,0.787034,0.709852,0,2.33333,2.42857,0.0,45.3139,1.0,0.0,0.0,0.0,0.614286,0.464286,0.0,139.763,0.974878,0.64555,11.592,0,0.5,3.0,1.0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,2.58333,0.0,38.8084,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,133.033,0.832436,0.390975,0,2.0,2.5,0.0,44.9069,1.0,0.0,0.0,0.0,0.533333,0.666667,0.0,129.867,0.979689,1.0196,12.052,0,0.0,3.0,0.0
