[control]player_id,playerStanding0.0,playerStanding1.0,playerStanding2.0,playerStanding3.0,playerStanding4.0,playerScore,playerSpeed,playerIsGrounded,playerIsMidAir,playerIsLooping,playerIsCrashing,playerIsOffRoad,playerGasPedal-1.0,playerGasPedal0.0,playerGasPedal1.0,playerSteering-1.0,playerSteering0.0,playerSteering1.0,playerLap0.0,playerLap1.0,playerDistanceToWayPoint,playerDeltaDistance,playerDeltaRotation,playerRespawn,visibleBotCount0.0,visibleBotCount1.0,visibleBotCount2.0,visibleBotCount3.0,botStanding,botScore,botSpeed,botIsGrounded,botIsLooping,botIsOffRoad,botIsCrashing,botGasPedal0.0,botGasPedal1.0,botSteering-1.0,botSteering0.0,botSteering1.0,botLap0.0,botLap1.0,botDistanceToWayPoint,botDeltaDistance,botDeltaRotation,botPlayerDistance,botRespawn,visibleLoopCount,playerStanding-0.0,playerLap2.0,botLap2.0,botGasPedal-1.0,playerSteering-0.0
018B0D8D-B5EC-09D6-90ED-550058EBFEAF,1,57,200,22,76,15.4,43.32986313,355,5,15,30,77,11,24,321,84,230,42,206,150,123.2799013,0.73839762,0.586647468,0,77,136,129,14,2.021290402,15,30.00243812,295,0,42,23,142,214,48,285,23,251,105,113.3324224,0.526182173,0.34226601,46.76444736,0,153,0,0,0,0,0
06F9F8CE-9696-23CA-25B5-000AA4A793BA,0,305,13,10,0,15.3333,47.69772463,326,8,18,23,20,2,18,308,74,217,37,172,156,126.9379155,0.962482492,0.774276659,0,193,30,76,29,1.181479128,0,16.90702457,144,2,11,14,215,113,27,285,16,320,8,61.91282957,0.348752778,0.277797218,32.25550698,0,169,0,0,0,0,0
0A221ADF-C99E-307E-7B65-92EF9DABA6C4,0,311,9,5,0,15.1875,47.81355791,324,7,14,19,41,0,36,289,59,235,31,161,164,122.2292606,0.781148645,0.534396628,0,234,19,57,15,0.785272677,0,11.96128938,100,1,5,15,249,76,18,291,16,324,1,39.67337508,0.199232421,0.144239917,24.87362098,0,159,0,0,0,0,0
0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308,1,0,0,2,476,15.4286,34.88821741,477,7,13,33,141,13,25,441,78,319,82,275,204,107.3168865,0.697454604,0.639458881,0,421,43,5,10,0.348754399,0,4.651219257,63,0,0,3,433,46,9,459,11,479,0,16.8242252,0.094130986,0.075533637,4.301534029,0,188,0,0,0,0,0
0AD33010-1AC1-E9FB-2FD4-313E3DF4692D,0,0,37,78,295,15.5882,41.90931665,383,35,45,26,50,1,56,354,96,256,59,236,174,115.1458905,0.657503007,0.608953431,1,264,39,74,34,0.881750572,0,16.28069723,156,12,8,13,277,134,27,372,12,408,3,43.45172019,0.255669228,0.270017922,13.49247384,0,196,1,1,0,0,0
0B5863F1-A482-C95D-EA42-9183B5BDFA12,0,258,79,23,0,15.3333,43.18982748,358,7,20,42,65,1,24,335,67,253,40,177,183,120.9420278,0.689284456,0.579932515,0,103,90,105,62,1.904520083,15.3333,30.86650494,274,4,24,27,118,242,33,304,23,228,130,101.9148528,0.505255382,0.35191118,39.29518736,0,192,0,0,2,0,0
0D759376-3F10-1BEB-7205-E91B8BF17984,1,262,27,11,17,15.3571,49.34251087,316,4,12,18,10,0,45,273,67,213,38,165,153,120.2388657,0.814576785,0.616486724,0,206,38,67,7,0.89150628,0,15.43002509,122,3,4,9,219,99,20,286,12,318,0,50.12583302,0.265320034,0.227316118,21.00138764,0,152,0,0,0,0,0
14027B3A-0AD6-CBA3-A600-42B3C0A4D933,0,3,3,44,366,15.4,41.80267476,413,11,19,33,91,3,16,397,95,268,53,246,170,117.5389846,1.135604019,1.09740711,1,291,53,57,15,0.745444856,0,13.02215531,135,2,4,18,309,107,27,377,12,415,1,38.09333365,0.360552642,0.254128531,15.65017555,0,224,0,0,0,0,0
165B40B2-D9B2-DBC0-AE48-02C0F49A609F,0,18,33,134,178,15.3333,42.68702006,360,8,17,22,89,0,35,328,79,235,49,201,162,117.6473253,1.661422827,1.386199834,0,77,148,105,33,2.319716474,15.3333,33.88125686,308,10,9,7,116,246,38,300,25,203,160,103.0373352,1.340069824,0.931909564,50.30113375,0,192,0,0,0,1,0
172A62AD-9B69-33E2-1551-9526879D80AC,1,35,16,216,78,15,45.62914268,343,9,14,26,54,2,26,318,80,217,49,187,159,119.5233237,0.785605975,0.712676113,0,33,88,143,82,2.174913893,15,37.40747204,323,4,19,10,78,268,52,278,16,200,146,118.8672153,0.650862554,0.456602215,48.96935835,0,171,0,0,0,0,0
